In file included from /virtual/main.c:1:
In file included from include/uapi/linux/ptrace.h:134:
In file included from arch/x86/include/asm/ptrace.h:5:
In file included from arch/x86/include/asm/segment.h:7:
arch/x86/include/asm/ibt.h:49:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr u64 ibt_save(void);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
arch/x86/include/asm/ibt.h:50:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr void ibt_restore(u64 save);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
2 warnings generated.
Tracing method calls in python process 172929... Ctrl-C to quit.
CPU PID    TID    TIME(us) METHOD
4   172929 173007 1.000                                        <- /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                        -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                        <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                        -> /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                        <- /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__iter__
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__iter__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                  <- /usr/lib/python3.8/email/feedparser.py._parsegen
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py._call_parse
4   172929 173007 1.000                              <- /usr/lib/python3.8/email/feedparser.py.feed
4   172929 173007 1.000                              -> /usr/lib/python3.8/email/feedparser.py.close
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py.close
4   172929 173007 1.000                                  -> /usr/lib/python3.8/email/feedparser.py.pushlines
4   172929 173007 1.000                                  <- /usr/lib/python3.8/email/feedparser.py.pushlines
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py.close
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py._call_parse
4   172929 173007 1.000                                  -> /usr/lib/python3.8/email/feedparser.py._parsegen
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.set_payload
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.set_payload
4   172929 173007 1.000                                  <- /usr/lib/python3.8/email/feedparser.py._parsegen
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py._call_parse
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py._pop_message
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py._pop_message
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                                  -> /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                  <- /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                              <- /usr/lib/python3.8/email/feedparser.py.close
4   172929 173007 1.000                            <- /usr/lib/python3.8/email/parser.py.parse
4   172929 173007 1.000                          <- /usr/lib/python3.8/email/parser.py.parsestr
4   172929 173007 1.000                        <- /usr/lib/python3.8/http/client.py.parse_headers
4   172929 173007 1.000                        -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                        <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                        -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                        <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                      <- /usr/lib/python3.8/http/server.py.parse_request
4   172929 173007 1.000                      -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                      <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                      -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                      <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.__getattr__
4   172929 173007 1.000                      -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.run_wsgi
4   172929 173007 1.000                        -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                        <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                        -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.make_environ
4   172929 173007 1.000                          -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/urls.py.url_parse
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._make_encode_wrapper
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py._make_encode_wrapper
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/_internal.py.<lambda>
4   172929 173007 1.000                            -> <string>.__new__
4   172929 173007 1.000                            <- <string>.__new__
4   172929 173007 1.000                          <- /home/supiri/.local/lib/python3.8/site-packages/werkzeug/urls.py.url_parse
